Page Title,Date,Number of Visits
Main_Page,12-11-2022,12347103
Main_Page,13-11-2022,12274201
Main_Page,14-11-2022,13361470
Main_Page,15-11-2022,12199399
Main_Page,16-11-2022,12756755
Main_Page,17-11-2022,11149615
Main_Page,18-11-2022,10047442
Main_Page,19-11-2022,11623619
Main_Page,20-11-2022,18762643
Main_Page,21-11-2022,12843078
Main_Page,22-11-2022,12322676
Main_Page,23-11-2022,13084339
Main_Page,24-11-2022,11982666
Main_Page,25-11-2022,11230061
Main_Page,26-11-2022,12509966
Main_Page,27-11-2022,12366031
Main_Page,28-11-2022,15186099
Main_Page,29-11-2022,13587923
Main_Page,30-11-2022,13327452
Main_Page,01-12-2022,12827527
Main_Page,02-12-2022,11457056
Main_Page,03-12-2022,12613289
Main_Page,04-12-2022,12928728
Main_Page,05-12-2022,15002049
Main_Page,06-12-2022,14744068
Main_Page,07-12-2022,13021132
Main_Page,08-12-2022,12296940
Main_Page,09-12-2022,11729715
Main_Page,10-12-2022,12722312
Main_Page,11-12-2022,12324757
Main_Page,12-12-2022,13225148
Main_Page,13-12-2022,12889917
Main_Page,14-12-2022,12510625
Main_Page,15-12-2022,11141727
Main_Page,16-12-2022,10210732
Main_Page,17-12-2022,11539830
Main_Page,18-12-2022,11672880
Main_Page,19-12-2022,12619951
Main_Page,20-12-2022,12501660
Main_Page,21-12-2022,12250602
Main_Page,22-12-2022,11786308
Main_Page,23-12-2022,10714591
Main_Page,24-12-2022,11837961
Main_Page,25-12-2022,11919579
Main_Page,26-12-2022,12983988
Main_Page,27-12-2022,17036904
Main_Page,28-12-2022,13140684
Main_Page,29-12-2022,11953388
Main_Page,30-12-2022,11822501
Main_Page,31-12-2022,12732550
Main_Page,01-01-2023,13065679
Main_Page,02-01-2023,14745134
Main_Page,03-01-2023,13562385
Main_Page,04-01-2023,13578026
Main_Page,05-01-2023,12844245
Main_Page,06-01-2023,11919681
Main_Page,07-01-2023,13588270
Main_Page,08-01-2023,12934250
Main_Page,09-01-2023,13919538
Main_Page,10-01-2023,13190296
Main_Page,11-01-2023,13190186
Main_Page,12-01-2023,12591881
Special:Search,12-11-2022,1848680
Special:Search,13-11-2022,1885242
Special:Search,14-11-2022,1818893
Special:Search,15-11-2022,1697993
Special:Search,16-11-2022,1832818
Special:Search,17-11-2022,1951747
Special:Search,18-11-2022,1710193
Special:Search,19-11-2022,1525567
Special:Search,20-11-2022,1545806
Special:Search,21-11-2022,1602607
Special:Search,22-11-2022,1593004
Special:Search,23-11-2022,1511269
Special:Search,24-11-2022,1412025
Special:Search,25-11-2022,1342100
Special:Search,26-11-2022,1312722
Special:Search,27-11-2022,1405258
Special:Search,28-11-2022,1462679
Special:Search,29-11-2022,1453866
Special:Search,30-11-2022,1459733
Special:Search,01-12-2022,1422284
Special:Search,02-12-2022,1417048
Special:Search,03-12-2022,1317055
Special:Search,04-12-2022,1334541
Special:Search,05-12-2022,1409791
Special:Search,06-12-2022,1460774
Special:Search,07-12-2022,1365586
Special:Search,08-12-2022,1654303
Special:Search,09-12-2022,1941960
Special:Search,10-12-2022,1712166
Special:Search,11-12-2022,1668617
Special:Search,12-12-2022,1654432
Special:Search,13-12-2022,1475144
Special:Search,14-12-2022,1430074
Special:Search,15-12-2022,1399764
Special:Search,16-12-2022,1381024
Special:Search,17-12-2022,1249847
Special:Search,18-12-2022,1263186
Special:Search,19-12-2022,1304183
Special:Search,20-12-2022,1313457
Special:Search,21-12-2022,1305602
Special:Search,22-12-2022,1313899
Special:Search,23-12-2022,1243420
Special:Search,24-12-2022,1186998
Special:Search,25-12-2022,1104292
Special:Search,26-12-2022,1226517
Special:Search,27-12-2022,1322192
Special:Search,28-12-2022,1365364
Special:Search,29-12-2022,1339454
Special:Search,30-12-2022,1329434
Special:Search,31-12-2022,1219274
Special:Search,01-01-2023,1289345
Special:Search,02-01-2023,1509687
Special:Search,03-01-2023,1556829
Special:Search,04-01-2023,1485366
Special:Search,05-01-2023,1780707
Special:Search,06-01-2023,2051077
Special:Search,07-01-2023,1684108
Special:Search,08-01-2023,1571068
Special:Search,09-01-2023,1547870
Special:Search,10-01-2023,1580659
Special:Search,11-01-2023,1695656
Special:Search,12-01-2023,1566656
Mária_Telkes,12-11-2022,26
Mária_Telkes,13-11-2022,24
Mária_Telkes,14-11-2022,61
Mária_Telkes,15-11-2022,47
Mária_Telkes,16-11-2022,46
Mária_Telkes,17-11-2022,52
Mária_Telkes,18-11-2022,48
Mária_Telkes,19-11-2022,23
Mária_Telkes,20-11-2022,23
Mária_Telkes,21-11-2022,46
Mária_Telkes,22-11-2022,42
Mária_Telkes,23-11-2022,70
Mária_Telkes,24-11-2022,47
Mária_Telkes,25-11-2022,29
Mária_Telkes,26-11-2022,44
Mária_Telkes,27-11-2022,30
Mária_Telkes,28-11-2022,41
Mária_Telkes,29-11-2022,40
Mária_Telkes,30-11-2022,61
Mária_Telkes,01-12-2022,67
Mária_Telkes,02-12-2022,105
Mária_Telkes,03-12-2022,36
Mária_Telkes,04-12-2022,39
Mária_Telkes,05-12-2022,53
Mária_Telkes,06-12-2022,87
Mária_Telkes,07-12-2022,67
Mária_Telkes,08-12-2022,43
Mária_Telkes,09-12-2022,43
Mária_Telkes,10-12-2022,24
Mária_Telkes,11-12-2022,51724
Mária_Telkes,12-12-2022,835338
Mária_Telkes,13-12-2022,86949
Mária_Telkes,14-12-2022,13972
Mária_Telkes,15-12-2022,7311
Mária_Telkes,16-12-2022,5085
Mária_Telkes,17-12-2022,3638
Mária_Telkes,18-12-2022,2832
Mária_Telkes,19-12-2022,2489
Mária_Telkes,20-12-2022,2084
Mária_Telkes,21-12-2022,1943
Mária_Telkes,22-12-2022,1707
Mária_Telkes,23-12-2022,1393
Mária_Telkes,24-12-2022,1238
Mária_Telkes,25-12-2022,1200
Mária_Telkes,26-12-2022,1183
Mária_Telkes,27-12-2022,1098
